season,version,episode_number_overall,episode,episode_label,episode_date,viewers,imdb_rating,n_ratings
9,US,124,10,Ep 10,2004-11-18,20700000,7.4,202
5,AU,124,24,Finale,2020-03-30,NA,8.7,42
9,SA,124,3,Ep 3,2022-07-20,NA,8.7,14
9,US,125,11,Ep 11,2004-11-25,NA,8.2,209
6,AU,125,1,Ep 1,2021-07-18,824000,7.9,39
9,SA,125,4,Ep 4,2022-07-21,NA,8.4,13
9,US,126,12,Ep 12,2004-12-02,19720000,7.7,204
6,AU,126,2,Ep 2,2021-07-19,839000,8.2,37
9,SA,126,5,Ep 5,2022-07-25,NA,8.9,14
9,US,127,13,Ep 13,2004-12-09,20300000,7.8,205
6,AU,127,3,Ep 3,2021-07-20,797000,8.7,38
9,SA,127,6,Ep 6,2022-07-26,NA,8.5,13
9,US,128,14,Finale,2004-12-12,19720000,7.9,211
6,AU,128,4,Ep 4,2021-07-25,632000,8,34
9,SA,128,7,Ep 7,2022-07-27,NA,8.3,13
10,US,129,1,Ep 1,2005-02-17,23660000,8.2,236
6,AU,129,5,Ep 5,2021-07-26,694000,8.1,34
9,SA,129,8,Ep 8,2022-07-28,NA,8.8,12
10,US,130,2,Ep 2,2005-02-24,21640000,7.7,216
6,AU,130,6,Ep 6,2021-07-27,717000,8.6,34
9,SA,130,9,Ep 9,2022-08-01,NA,8.5,13
10,US,131,3,Ep 3,2005-03-03,21800000,7.9,217
6,AU,131,7,Ep 7,2021-08-01,635000,8.6,35
9,SA,131,10,Ep 10,2022-08-02,NA,8.4,12
10,US,132,4,Ep 4,2005-03-10,21800000,8,147
6,AU,132,8,Ep 8,2021-08-02,675000,8.6,33
9,SA,132,11,Ep 11,2022-08-03,NA,8.5,12
10,US,133,5,Ep 5,2005-03-16,18420000,8.1,140
6,AU,133,9,Ep 9,2021-08-03,714000,8.7,35
9,SA,133,12,Ep 12,2022-08-04,NA,8.8,13
10,US,134,6,Ep 6,2005-03-23,19150000,7.8,142
6,AU,134,10,Ep 10,2021-08-08,678000,8.1,30
9,SA,134,13,Ep 13,2022-08-08,NA,8.4,12
10,US,135,7,Ep 7,2005-03-31,20890000,7.9,143
6,AU,135,11,Ep 11,2021-08-09,689000,7.8,30
9,SA,135,14,Ep 14,2022-08-09,NA,8.4,12
10,US,136,8,Ep 8,2005-04-07,19750000,8.2,137
6,AU,136,12,Ep 12,2021-08-10,763000,8.9,33
9,SA,136,15,Ep 15,2022-08-10,NA,8.8,13
10,US,137,9,Ep 9,2005-04-14,20000000,8,137
6,AU,137,13,Ep 13,2021-08-15,732000,8.7,38
9,SA,137,16,Ep 16,2022-08-11,NA,8.6,11
10,US,138,10,Ep 10,2005-04-21,18660000,8,142
6,AU,138,14,Ep 14,2021-08-16,789000,6.2,37
9,SA,138,17,Ep 17,2022-08-15,NA,8.3,11
10,US,139,11,Ep 11,2005-04-28,NA,7.8,140
6,AU,139,15,Ep 15,2021-08-17,767000,7.6,32
9,SA,139,18,Ep 18,2022-08-16,NA,8.5,11
10,US,140,12,Ep 12,2005-05-05,20070000,8.2,141
6,AU,140,16,Ep 16,2021-08-22,740000,8.6,31
9,SA,140,19,Ep 19,2022-08-17,NA,8.2,11
10,US,141,13,Ep 13,2005-05-12,19300000,8,140
6,AU,141,17,Ep 17,2021-08-23,741000,8.5,33
9,SA,141,20,Ep 20,2022-08-18,NA,8.5,11
10,US,142,14,Finale,2005-05-15,20800000,8.4,220
6,AU,142,18,Ep 18,2021-08-24,767000,8.7,33
9,SA,142,21,Ep 21,2022-08-22,NA,8.7,11
11,US,143,1,Ep 1,2005-09-15,18410000,8,115
6,AU,143,19,Ep 19,2021-08-29,723000,8,29
9,SA,143,22,Ep 22,2022-08-23,NA,8.5,10
11,US,144,2,Ep 2,2005-09-22,16980000,7.7,94
6,AU,144,20,Ep 20,2021-08-30,737000,7.4,30
9,SA,144,23,Finale,2022-08-24,NA,8.6,10
11,US,145,3,Ep 3,2005-09-29,17290000,7.5,94
6,AU,145,21,Ep 21,2021-08-31,707000,8.3,30
11,US,146,4,Ep 4,2005-10-06,17920000,7.7,95
6,AU,146,22,Ep 22,2021-09-05,729000,8.6,30
11,US,147,5,Ep 5,2005-10-13,17850000,7.7,95
6,AU,147,23,Ep 23,2021-09-06,795000,8.7,35
11,US,148,6,Ep 6,2005-10-20,17780000,7.6,92
6,AU,148,24,Finale,2021-09-12,785000,8.2,34
11,US,149,7,Ep 7,2005-10-27,17380000,7.4,91
7,AU,149,1,Ep 1,2022-01-31,NA,8.7,41
11,US,150,8,Ep 8,2005-11-03,18280000,7.8,94
7,AU,150,2,Ep 2,2022-02-01,NA,7.9,29
11,US,151,9,Ep 9,2005-11-10,18980000,7.9,94
7,AU,151,3,Ep 3,2022-02-02,NA,9,31
11,US,152,10,Ep 10,2005-11-17,18820000,7.9,91
7,AU,152,4,Ep 4,2022-02-06,NA,7.5,31
11,US,153,11,Ep 11,2005-11-24,19540000,7.7,92
7,AU,153,5,Ep 5,2022-02-07,NA,8,30
11,US,154,12,Ep 12,2005-12-01,19820000,7.9,92
7,AU,154,6,Ep 6,2022-02-08,NA,8.1,32
11,US,155,13,Ep 13,2005-12-08,20210000,7.6,92
7,AU,155,7,Ep 7,2022-02-13,NA,8.6,26
11,US,156,14,Finale,2005-12-11,21180000,8,96
7,AU,156,8,Ep 8,2022-02-14,NA,8.5,27
12,US,157,1,Ep 1,2006-02-02,19200000,7.6,121
7,AU,157,9,Ep 9,2022-02-15,NA,8.1,24
12,US,158,2,Ep 2,2006-02-09,18750000,7.5,101
7,AU,158,10,Ep 10,2022-02-20,NA,8.6,26
12,US,159,3,Ep 3,2006-02-16,16980000,7.4,97
7,AU,159,11,Ep 11,2022-02-21,NA,8.9,26
12,US,160,4,Ep 4,2006-02-23,14850000,7.4,99
7,AU,160,12,Ep 12,2022-02-22,NA,8.8,25
12,US,161,5,Ep 5,2006-03-02,16080000,7.7,98
7,AU,161,13,Ep 13,2022-02-27,NA,8.6,29
12,US,162,6,Ep 6,2006-03-09,15330000,7.4,96
7,AU,162,14,Ep 14,2022-02-28,NA,8.4,26
12,US,163,7,Recap,2006-03-15,NA,6.4,83
7,AU,163,15,Ep 15,2022-03-06,NA,9,31
12,US,164,8,Ep 8,2006-03-30,16250000,7.4,94
7,AU,164,16,Ep 16,2022-03-07,NA,8.1,28
12,US,165,9,Ep 9,2006-04-06,16360000,7.5,96
7,AU,165,17,Ep 17,2022-03-13,NA,7.8,30
12,US,166,10,Ep 10,2006-04-13,15070000,7.5,95
7,AU,166,18,Ep 18,2022-03-14,NA,7.6,27
12,US,167,11,Ep 11,2006-04-20,16260000,7.8,100
7,AU,167,19,Ep 19,2022-03-20,NA,9,29
12,US,168,12,Ep 12,2006-04-27,17090000,8,96
7,AU,168,20,Ep 20,2022-03-21,NA,8.8,27
12,US,169,13,Ep 13,2006-05-04,17040000,7.9,97
7,AU,169,21,Ep 21,2022-03-27,NA,8.6,23
12,US,170,14,Ep 14,2006-05-11,17200000,7.5,101
7,AU,170,22,Ep 22,2022-03-28,NA,8.7,22
12,US,171,15,Finale,2006-05-14,17070000,7.6,112
7,AU,171,23,Ep 23,2022-04-03,NA,8.6,23
13,US,172,1,Ep 1,2006-09-14,18000000,8,155
7,AU,172,24,Finale,2022-04-04,NA,8.1,22
13,US,173,2,Ep 2,2006-09-21,17430000,7.6,116
8,AU,173,1,Ep 1,2023-01-30,NA,8.3,53
13,US,174,3,Ep 3,2006-09-28,16850000,7.6,115
8,AU,174,2,Ep 2,2023-01-31,NA,8.3,47
13,US,175,4,Ep 4,2006-10-05,15830000,7.7,109
8,AU,175,3,Ep 3,2023-02-01,NA,8.3,43
13,US,176,5,Ep 5,2006-10-12,15840000,7.5,107
8,AU,176,4,Ep 4,2023-02-05,NA,7.9,46
13,US,177,6,Ep 6,2006-10-19,15020000,7.8,111
8,AU,177,5,Ep 5,2023-02-06,NA,8,41
13,US,178,7,Recap,2006-10-26,15300000,6.2,94
8,AU,178,6,Ep 6,2023-02-07,NA,7.9,41
13,US,179,8,Ep 8,2006-11-02,15300000,7.7,110
8,AU,179,7,Ep 7,2023-02-12,NA,9.6,129
13,US,180,9,Ep 9,2006-11-09,14390000,8,115
8,AU,180,8,Ep 8,2023-02-13,NA,7.6,45
13,US,181,10,Ep 10,2006-11-16,15350000,8.1,116
8,AU,181,9,Ep 9,2023-02-14,NA,8.7,49
13,US,182,11,Ep 11,2006-11-23,12670000,8.5,122
8,AU,182,10,Ep 10,2023-02-19,NA,8.8,46
13,US,183,12,Ep 12,2006-11-30,15630000,7.9,111
8,AU,183,11,Ep 11,2023-02-20,NA,8.1,40
13,US,184,13,Ep 13,2006-12-07,15720000,7.5,107
8,AU,184,12,Ep 12,2023-02-21,NA,8,37
13,US,185,14,Ep 14,2006-12-14,14550000,7.7,103
8,AU,185,13,Ep 13,2023-02-26,NA,8.1,42
13,US,186,15,Finale,2006-12-17,16420000,7.9,117
8,AU,186,14,Ep 14,2023-02-27,NA,8.7,44
14,US,187,1,Ep 1,2007-02-08,16440000,6.9,123
8,AU,187,15,Ep 15,2023-02-28,NA,8.3,37
14,US,188,2,Ep 2,2007-02-15,16080000,6.8,100
8,AU,188,16,Ep 16,2023-03-05,NA,9.1,44
14,US,189,3,Ep 3,2007-02-22,13470000,6.7,98
8,AU,189,17,Ep 17,2023-03-06,NA,8.9,40
14,US,190,4,Ep 4,2007-03-01,14670000,6.9,97
8,AU,190,18,Ep 18,2023-03-07,NA,8.6,35
14,US,191,5,Ep 5,2007-03-08,13810000,6.9,95
8,AU,191,19,Ep 19,2023-03-12,NA,8.6,36
14,US,192,6,Ep 6,2007-03-21,12780000,7.1,97
8,AU,192,20,Ep 20,2023-03-13,NA,7.9,34
14,US,193,7,Ep 7,2007-03-29,13710000,7.4,97
8,AU,193,21,Ep 21,2023-03-19,NA,7.5,35
14,US,194,8,Ep 8,2007-04-05,13580000,7.3,98
8,AU,194,22,Ep 22,2023-03-20,NA,7.6,31
14,US,195,9,Ep 9,2007-04-12,14250000,7.1,93
8,AU,195,23,Ep 23,2023-03-26,NA,7.5,33
14,US,196,10,Ep 10,2007-04-19,13330000,8,106
8,AU,196,24,Finale,2023-03-27,NA,8.7,40
14,US,197,11,Ep 11,2007-04-26,13830000,7.2,91
9,AU,197,1,Ep 1,2024-01-29,NA,8.8,40
14,US,198,12,Ep 12,2007-05-03,13740000,7,94
9,AU,198,2,Ep 2,2024-01-30,NA,8.5,35
14,US,199,13,Ep 13,2007-05-10,13770000,7.9,98
9,AU,199,3,Ep 3,2024-01-31,NA,8.8,37
14,US,200,14,Finale,2007-05-13,13630000,7.4,102
9,AU,200,4,Ep 4,2024-02-04,NA,8.5,33
15,US,201,1,Ep 1,2007-09-20,15350000,7.6,139
9,AU,201,5,Ep 5,2024-02-05,NA,8.6,32
15,US,202,2,Ep 2,2007-09-27,14150000,7.4,111
9,AU,202,6,Ep 6,2024-02-06,NA,8.5,31
15,US,203,3,Ep 3,2007-10-04,14140000,7.5,111
9,AU,203,7,Ep 7,2024-02-11,NA,8.9,33
15,US,204,4,Ep 4,2007-10-11,14220000,7.3,111
9,AU,204,8,Ep 8,2024-02-12,NA,8.9,32
15,US,205,5,Ep 5,2007-10-18,14030000,7.5,112
9,AU,205,9,Ep 9,2024-02-13,NA,9,33
15,US,206,6,Ep 6,2007-10-25,14190000,7.9,113
9,AU,206,10,Ep 10,2024-02-18,NA,8.6,36
15,US,207,7,Ep 7,2007-11-01,14440000,7.9,109
9,AU,207,11,Ep 11,2024-02-19,NA,8.2,29
15,US,208,8,Ep 8,2007-11-08,14860000,7.9,107
9,AU,208,12,Ep 12,2024-02-20,NA,8.8,33
15,US,209,9,Ep 9,2007-11-15,14680000,7.6,106
9,AU,209,13,Ep 13,2024-02-25,NA,7.5,30
15,US,210,10,Recap,2007-11-22,NA,6.5,89
9,AU,210,14,Ep 14,2024-02-26,NA,8.7,31
15,US,211,11,Ep 11,2007-11-29,13570000,8.1,111
9,AU,211,15,Ep 15,2024-02-27,NA,9.2,36
15,US,212,12,Ep 12,2007-12-06,14050000,7.5,106
9,AU,212,16,Ep 16,2024-03-03,NA,8.2,31
15,US,213,13,Ep 13,2007-12-13,13860000,7.9,111
9,AU,213,17,Ep 17,2024-03-04,NA,8.9,29
15,US,214,14,Finale,2007-12-16,15180000,7.9,113
9,AU,214,18,Ep 18,2024-03-05,NA,9.2,43
16,US,215,1,Ep 1,2008-02-07,14020000,7.8,159
9,AU,215,19,Ep 19,2024-03-10,NA,8.7,26
16,US,216,2,Ep 2,2008-02-14,13120000,7.5,118
9,AU,216,20,Ep 20,2024-03-11,NA,8.5,25
16,US,217,3,Ep 3,2008-02-21,12550000,7.5,114
9,AU,217,21,Ep 21,2024-03-12,NA,8.9,24
16,US,218,4,Ep 4,2008-02-28,12470000,7.4,113
9,AU,218,22,Ep 22,2024-03-17,NA,8.7,17
16,US,219,5,Ep 5,2008-03-06,12060000,7.6,109
9,AU,219,23,Ep 23,2024-03-18,NA,8.7,18
16,US,220,6,Ep 6,2008-03-13,13060000,7.5,106
9,AU,220,24,Finale,2024-03-19,NA,8.9,21
16,US,221,7,Ep 7,2008-03-19,11340000,7.5,110
16,US,222,8,Ep 8,2008-04-03,12840000,7.4,110
16,US,223,9,Ep 9,2008-04-10,11680000,7.7,112
16,US,224,10,Ep 10,2008-04-17,12090000,8.6,135
16,US,225,11,Ep 11,2008-04-24,12980000,7.6,111
16,US,226,12,Ep 12,2008-05-01,12530000,8.4,123
16,US,227,13,Ep 13,2008-05-08,11980000,8.5,138
16,US,228,14,Finale,2008-05-11,12920000,7.8,117
17,US,229,1,Ep 1,2008-09-25,13060000,7.5,252
17,US,230,2,Ep 2,2008-10-02,13080000,7.2,215
17,US,231,3,Ep 3,2008-10-09,13280000,7.3,212
17,US,232,4,Ep 4,2008-10-16,12810000,7,205
17,US,233,5,Ep 5,2008-10-23,13310000,7.2,208
17,US,234,6,Ep 6,2008-10-30,13020000,7.5,214
17,US,235,7,Ep 7,2008-11-06,12010000,7.5,209
17,US,236,8,Ep 8,2008-11-13,12890000,7.5,212
17,US,237,9,Ep 9,2008-11-20,12500000,8.4,231
17,US,238,10,Recap,2008-11-27,8310000,6.3,116
17,US,239,11,Ep 11,2008-12-04,12730000,7.6,206
17,US,240,12,Ep 12,2008-12-11,13050000,8.1,220
17,US,241,13,Finale,2008-12-14,13770000,8,219
18,US,242,1,Ep 1,2009-02-12,13630000,7.5,152
18,US,243,2,Ep 2,2009-02-19,13590000,7.4,118
18,US,244,3,Ep 3,2009-02-26,12050000,7.3,121
18,US,245,4,Ep 4,2009-03-05,11850000,7.2,116
18,US,246,5,Ep 5,2009-03-12,12820000,7.9,115
18,US,247,6,Recap,2009-03-25,8150000,6.3,97
18,US,248,7,Ep 7,2009-04-02,11270000,7.6,112
18,US,249,8,Ep 8,2009-04-09,11240000,7.9,116
18,US,250,9,Ep 9,2009-04-16,11640000,8.2,120
18,US,251,10,Ep 10,2009-04-23,11300000,8,123
18,US,252,11,Ep 11,2009-04-30,11730000,7.8,111
18,US,253,12,Ep 12,2009-05-07,11990000,7.6,114
18,US,254,13,Ep 13,2009-05-14,12180000,8,126
18,US,255,14,Finale,2009-05-17,12940000,7.8,118
19,US,256,1,Ep 1,2009-09-17,11660000,7.6,140
19,US,257,2,Ep 2,2009-09-24,11660000,7.3,107
19,US,258,3,Ep 3,2009-10-01,11540000,7.4,101
19,US,259,4,Ep 4,2009-10-08,11690000,7.1,101
19,US,260,5,Ep 5,2009-10-15,11780000,7.2,99
19,US,261,6,Ep 6,2009-10-22,12880000,7.7,102
19,US,262,7,Ep 7,2009-10-29,12190000,7.2,99
19,US,263,8,Ep 8,2009-11-05,12440000,7.9,106
19,US,264,9,Ep 9,2009-11-12,12940000,8.4,124
19,US,265,10,Ep 10,2009-11-19,12330000,8.3,117
19,US,266,11,Recap,2009-11-26,9940000,5.7,83
19,US,267,12,Ep 12,2009-12-03,12820000,7.4,94
19,US,268,13,Ep 13,2009-12-10,13250000,7.4,95
19,US,269,14,Ep 14,2009-12-17,12460000,7.2,99
19,US,270,15,Finale,2009-12-20,13970000,7.7,113
20,US,271,1,Ep 1,2010-02-11,14150000,8.6,213
20,US,272,2,Ep 2,2010-02-18,11940000,8,150
20,US,273,3,Ep 3,2010-02-25,11600000,8,135
20,US,274,4,Ep 4,2010-03-04,12720000,8.3,133
20,US,275,5,Ep 5,2010-03-11,12170000,8,131
20,US,276,6,Ep 6,2010-03-24,11150000,8.9,177
20,US,277,7,Ep 7,2010-04-01,11260000,8.4,140
20,US,278,8,Ep 8,2010-04-08,12380000,8,126
20,US,279,9,Ep 9,2010-04-15,12310000,8.2,134
20,US,280,10,Ep 10,2010-04-22,11890000,8.8,185
20,US,281,11,Ep 11,2010-04-29,12740000,8,126
20,US,282,12,Ep 12,2010-05-06,13060000,8.3,138
20,US,283,13,Ep 13,2010-05-13,13280000,8.1,120
20,US,284,14,Finale,2010-05-16,13460000,8.2,131
21,US,285,1,Ep 1,2010-09-15,12230000,7.1,103
21,US,286,2,Ep 2,2010-09-22,12590000,7.4,92
21,US,287,3,Ep 3,2010-09-29,12260000,6.6,83
21,US,288,4,Ep 4,2010-10-06,12050000,6.8,82
21,US,289,5,Ep 5,2010-10-13,12320000,6.7,81
21,US,290,6,Ep 6,2010-10-20,12260000,6.9,79
21,US,291,7,Ep 7,2010-10-27,11820000,6.8,77
21,US,292,8,Ep 8,2010-11-03,12300000,7,82
21,US,293,9,Ep 9,2010-11-10,11290000,7,80
21,US,294,10,Ep 10,2010-11-17,11980000,7,80
21,US,295,11,Recap,2010-11-24,8020000,6.1,72
21,US,296,12,Ep 12,2010-12-01,12260000,6.8,84
21,US,297,13,Ep 13,2010-12-08,12130000,6.8,80
21,US,298,14,Ep 14,2010-12-15,12320000,7.1,81
21,US,299,15,Finale,2010-12-19,13580000,7.6,86
22,US,300,1,Ep 1,2011-02-16,11155000,7.5,117
22,US,301,2,Ep 2,2011-02-23,10932000,7,96
22,US,302,3,Ep 3,2011-03-02,11315000,7.3,100
22,US,303,4,Ep 4,2011-03-09,10960000,7,94
22,US,304,5,Ep 5,2011-03-16,10727000,6.7,93
22,US,305,6,Ep 6,2011-03-23,11003000,6.4,96
22,US,306,7,Ep 7,2011-03-30,11005000,6.7,93
22,US,307,8,Ep 8,2011-04-06,10937000,7.2,94
22,US,308,9,Ep 9,2011-04-13,11086000,6.6,93
22,US,309,10,Ep 10,2011-04-20,11024000,6.2,101
22,US,310,11,Ep 11,2011-04-27,11324000,6.6,87
22,US,311,12,Ep 12,2011-05-04,10990000,6.5,87
22,US,312,13,Ep 13,2011-05-11,10771000,6.7,89
22,US,313,14,Finale,2011-05-15,13303000,6.5,101
23,US,314,1,Ep 1,2011-09-14,10740000,7.8,111
23,US,315,2,Ep 2,2011-09-21,10460000,7.3,88
23,US,316,3,Ep 3,2011-09-28,10710000,7.2,90
23,US,317,4,Ep 4,2011-10-05,10720000,7,89
23,US,318,5,Ep 5,2011-10-12,10690000,7.7,88
23,US,319,6,Ep 6,2011-10-19,11240000,7.4,90
23,US,320,7,Ep 7,2011-10-26,11790000,8,95
23,US,321,8,Ep 8,2011-11-02,11950000,8.1,108
23,US,322,9,Ep 9,2011-11-09,10800000,7.4,90
23,US,323,10,Ep 10,2011-11-16,11660000,7.1,88
23,US,324,11,Recap,2011-11-23,7980000,6.2,72
23,US,325,12,Ep 12,2011-11-30,11050000,7.1,85
23,US,326,13,Ep 13,2011-12-07,11590000,7,87
23,US,327,14,Ep 14,2011-12-14,10870000,7.7,92
23,US,328,15,Finale,2011-12-18,13070000,7.2,102
24,US,329,1,Ep 1,2012-02-15,10790000,7,125
24,US,330,2,Ep 2,2012-02-22,10290000,6.6,96
24,US,331,3,Ep 3,2012-02-29,10650000,7.1,104
24,US,332,4,Ep 4,2012-03-07,10780000,6.3,97
24,US,333,5,Ep 5,2012-03-14,10560000,7,93
24,US,334,6,Ep 6,2012-03-21,10470000,7.5,103
24,US,335,7,Ep 7,2012-03-28,9990000,7,91
24,US,336,8,Ep 8,2012-04-04,10360000,7.2,88
24,US,337,9,Ep 9,2012-04-11,9910000,7,87
24,US,338,10,Ep 10,2012-04-18,9960000,6.9,85
24,US,339,11,Ep 11,2012-04-25,9810000,6.9,83
24,US,340,12,Ep 12,2012-05-02,9430000,7,83
24,US,341,13,Ep 13,2012-05-09,9970000,6.9,81
24,US,342,14,Finale,2012-05-13,10340000,7.1,87
25,US,343,1,Ep 1,2012-09-19,11370000,7.8,245
25,US,344,2,Ep 2,2012-09-26,10310000,7.5,213
25,US,345,3,Ep 3,2012-10-03,10380000,7.4,215
25,US,346,4,Ep 4,2012-10-10,9820000,7.8,213
25,US,347,5,Ep 5,2012-10-17,10430000,7.7,209
25,US,348,6,Ep 6,2012-10-24,10230000,7.4,206
25,US,349,7,Ep 7,2012-10-31,9830000,7.9,209
25,US,350,8,Ep 8,2012-11-07,10310000,8.7,203
25,US,351,9,Ep 9,2012-11-14,10060000,8.4,202
25,US,352,10,Ep 10,2012-11-21,9370000,7.8,146
25,US,353,11,Ep 11,2012-11-28,10370000,8,174
25,US,354,12,Ep 12,2012-12-05,10640000,7.2,201
25,US,355,13,Ep 13,2012-12-12,10370000,7.8,203
25,US,356,14,Finale,2012-12-16,11460000,8.1,214
26,US,357,1,Ep 1,2013-02-13,8940000,7.6,150
26,US,358,2,Ep 2,2013-02-20,9320000,7.2,117
26,US,359,3,Ep 3,2013-02-27,9170000,7,116
26,US,360,4,Ep 4,2013-03-06,9580000,7.3,120
26,US,361,5,Ep 5,2013-03-13,9890000,8.5,158
26,US,362,6,Ep 6,2013-03-20,9790000,6.9,112
26,US,363,7,Ep 7,2013-03-27,9430000,7.4,112
26,US,364,8,Ep 8,2013-04-03,9250000,7.8,122
26,US,365,9,Ep 9,2013-04-10,9380000,8,122
26,US,366,10,Ep 10,2013-04-17,9990000,8.9,177
26,US,367,11,Ep 11,2013-04-24,10310000,7.9,115
26,US,368,12,Ep 12,2013-05-01,9250000,7.6,120
26,US,369,13,Ep 13,2013-05-08,9510000,7.8,128
26,US,370,14,Finale,2013-05-12,10160000,7.5,126
27,US,371,1,Ep 1,2013-09-18,9730000,7.3,128
27,US,372,2,Ep 2,2013-09-25,9540000,7.1,105
27,US,373,3,Ep 3,2013-10-02,10160000,7.4,104
27,US,374,4,Ep 4,2013-10-09,9600000,7.9,105
27,US,375,5,Ep 5,2013-10-16,10110000,7.3,95
27,US,376,6,Ep 6,2013-10-23,9520000,6.9,89
27,US,377,7,Ep 7,2013-10-30,9000000,7.2,93
27,US,378,8,Ep 8,2013-11-06,9290000,7.4,92
27,US,379,9,Ep 9,2013-11-13,9870000,7.1,86
27,US,380,10,Ep 10,2013-11-20,10180000,7.6,94
27,US,381,11,Ep 11,2013-11-27,8810000,7.5,95
27,US,382,12,Ep 12,2013-12-04,10630000,8.6,133
27,US,383,13,Ep 13,2013-12-11,9920000,7.5,97
27,US,384,14,Finale,2013-12-15,10190000,7.4,98
28,US,385,1,Ep 1,2014-02-26,9400000,8.4,218
28,US,386,2,Ep 2,2014-03-05,9580000,7.7,153
28,US,387,3,Ep 3,2014-03-12,9660000,7.9,150
28,US,388,4,Ep 4,2014-03-19,9460000,8,152
28,US,389,5,Ep 5,2014-03-26,9850000,7.8,146
28,US,390,6,Ep 6,2014-04-02,9480000,9,226
28,US,391,7,Ep 7,2014-04-09,9620000,7.9,153
28,US,392,8,Ep 8,2014-04-16,9350000,8.1,146
28,US,393,9,Ep 9,2014-04-23,9430000,7.9,143
28,US,394,10,Ep 10,2014-04-30,9700000,8.3,147
28,US,395,11,Ep 11,2014-05-07,9910000,7.9,137
28,US,396,12,Ep 12,2014-05-14,9930000,8.5,153
28,US,397,13,Finale,2014-05-21,9580000,8.6,172
29,US,398,1,Ep 1,2014-09-24,9750000,7.4,123
29,US,399,2,Ep 2,2014-10-01,9490000,7.5,104
29,US,400,3,Ep 3,2014-10-08,9650000,7.7,110
29,US,401,4,Ep 4,2014-10-15,9330000,7.9,106
29,US,402,5,Ep 5,2014-10-22,9220000,7.2,103
29,US,403,6,Ep 6,2014-10-29,9070000,7.1,99
29,US,404,7,Ep 7,2014-11-05,9310000,6.6,101
29,US,405,8,Ep 8,2014-11-12,9510000,7.4,102
29,US,406,9,Ep 9,2014-11-19,9850000,7.8,107
29,US,407,10,Ep 10,2014-11-26,8900000,8.1,111
29,US,408,11,Ep 11,2014-12-03,8710000,7.6,103
29,US,409,12,Ep 12,2014-12-03,8710000,7.8,102
29,US,410,13,Ep 13,2014-12-10,9470000,8.1,105
29,US,411,14,Finale,2014-12-17,9790000,6.7,77
30,US,412,1,Ep 1,2015-02-25,10040000,7.8,144
30,US,413,2,Ep 2,2015-03-04,9770000,7.5,113
30,US,414,3,Ep 3,2015-03-11,9250000,7,112
30,US,415,4,Ep 4,2015-03-18,9620000,7.5,113
30,US,416,5,Ep 5,2015-03-18,9620000,7.7,111
30,US,417,6,Ep 6,2015-03-25,9640000,8.3,132
30,US,418,7,Ep 7,2015-04-01,9590000,7.6,113
30,US,419,8,Ep 8,2015-04-08,9840000,7.5,113
30,US,420,9,Ep 9,2015-04-15,9350000,8.1,119
30,US,421,10,Ep 10,2015-04-22,10190000,8.1,119
30,US,422,11,Ep 11,2015-04-29,9250000,7.7,109
30,US,423,12,Ep 12,2015-05-06,9220000,8.4,130
30,US,424,13,Ep 13,2015-05-13,9610000,8.2,114
30,US,425,14,Finale,2015-05-20,9740000,7.2,105
31,US,426,1,Ep 1,2015-09-23,9700000,8.5,237
31,US,427,2,Ep 2,2015-09-30,9430000,8.5,198
31,US,428,3,Ep 3,2015-10-07,9070000,8.2,182
31,US,429,4,Ep 4,2015-10-14,9070000,8,173
31,US,430,5,Ep 5,2015-10-21,9100000,8.3,182
31,US,431,6,Ep 6,2015-10-28,8480000,8.7,178
31,US,432,7,Ep 7,2015-11-04,8800000,8.2,177
31,US,433,8,Ep 8,2015-11-11,9000000,9.2,234
31,US,434,9,Ep 9,2015-11-18,9050000,8.3,175
31,US,435,10,Ep 10,2015-11-25,8120000,9.3,325
31,US,436,11,Ep 11,2015-11-25,8120000,8.4,172
31,US,437,12,Ep 12,2015-12-02,9420000,7.9,166
31,US,438,13,Ep 13,2015-12-09,9910000,9,175
31,US,439,14,Finale,2015-12-16,9450000,7.4,132
32,US,440,1,Ep 1,2016-02-17,8300000,7.4,163
32,US,441,2,Ep 2,2016-02-24,8390000,7.9,143
32,US,442,3,Ep 3,2016-03-02,9240000,7.7,135
32,US,443,4,Ep 4,2016-03-09,9260000,8.2,158
32,US,444,5,Ep 5,2016-03-16,9500000,7.4,129
32,US,445,6,Ep 6,2016-03-23,9310000,7.7,129
32,US,446,7,Ep 7,2016-03-30,9160000,7.2,125
32,US,447,8,Ep 8,2016-04-06,8980000,8,135
32,US,448,9,Ep 9,2016-04-13,8390000,8.7,156
32,US,449,10,Ep 10,2016-04-20,9270000,8.9,189
32,US,450,11,Ep 11,2016-04-27,9470000,7.7,126
32,US,451,12,Ep 12,2016-05-04,9480000,7.5,121
32,US,452,13,Ep 13,2016-05-11,9510000,7.2,120
32,US,453,14,Finale,2016-05-18,9540000,7.7,128
33,US,454,1,Ep 1,2016-09-21,9460000,7.6,199
33,US,455,2,Ep 2,2016-09-28,9160000,7.6,168
33,US,456,3,Ep 3,2016-10-05,8600000,7.5,170
33,US,457,4,Ep 4,2016-10-12,9060000,8.2,178
33,US,458,5,Ep 5,2016-10-19,8590000,7.5,162
33,US,459,6,Ep 6,2016-10-26,8300000,7.7,169
33,US,460,7,Ep 7,2016-11-02,6930000,8.3,177
33,US,461,8,Ep 8,2016-11-09,8810000,7.8,159
