season,version,episode_number_overall,episode,episode_label,episode_date,viewers,imdb_rating,n_ratings
2,UK,21,7,Ep 7,2002-04-24,NA,NA,NA
2,NZ,21,1,Ep 1,2018-04-22,NA,7.1,8
2,US,22,9,Recap,2001-03-21,22930000,6.1,132
1,AU,22,22,Ep 22,2016-10-16,660000,7.3,25
2,SA,22,9,Ep 9,2007-10-17,NA,NA,NA
2,UK,22,8,Ep 8,2002-05-01,NA,NA,NA
2,NZ,22,2,Ep 2,2018-04-29,NA,7.8,7
2,US,23,10,Ep 10,2001-03-29,28120000,7.7,189
1,AU,23,23,Ep 23,2016-10-17,760000,7.3,24
2,SA,23,10,Ep 10,2007-10-24,NA,NA,NA
2,UK,23,9,Ep 9,2002-05-08,NA,NA,NA
2,NZ,23,3,Ep 3,2018-05-06,NA,7.8,7
2,US,24,11,Ep 11,2001-04-05,27710000,7.6,187
1,AU,24,24,Ep 24,2016-10-23,714000,7.8,25
2,SA,24,11,Ep 11,2007-10-31,NA,NA,NA
2,UK,24,10,Ep 10,2002-05-15,NA,NA,NA
2,NZ,24,4,Ep 4,2018-05-13,NA,NA,NA
2,US,25,12,Ep 12,2001-04-12,27550000,7.7,194
1,AU,25,25,Ep 25,2016-10-24,750000,7.7,24
2,SA,25,12,Ep 12,2007-11-08,NA,NA,NA
2,UK,25,11,Ep 11,2002-05-22,NA,NA,NA
2,NZ,25,5,Ep 5,2018-05-20,NA,NA,NA
2,US,26,13,Ep 13,2001-04-19,28410000,7.5,192
1,AU,26,26,Finale,2016-10-25,859000,8.5,39
2,SA,26,13,Finale,2007-11-14,NA,NA,NA
2,UK,26,12,Finale,2002-05-29,NA,NA,NA
2,NZ,26,6,Ep 6,2018-05-27,NA,NA,NA
2,US,27,14,Ep 14,2001-04-26,26890000,7.2,183
2,AU,27,1,Ep 1,2017-07-30,639000,8.1,31
3,SA,27,1,Ep 1,2010-01-20,NA,NA,NA
3,UK,27,1,Ep 1,2023-10-28,NA,7.9,16
2,NZ,27,7,Ep 7,2018-06-03,NA,NA,NA
2,US,28,15,Finale,2001-05-03,36350000,7.7,197
2,AU,28,2,Ep 2,2017-07-31,656000,8.2,30
3,SA,28,2,Ep 2,2010-01-27,NA,NA,NA
3,UK,28,2,Ep 2,2023-10-29,NA,8.2,12
2,NZ,28,8,Ep 8,2018-06-10,NA,NA,NA
3,US,29,1,Ep 1,2001-10-11,23840000,7.5,147
2,AU,29,3,Ep 3,2017-08-01,600000,8.2,28
3,SA,29,3,Ep 3,2010-02-03,NA,NA,NA
3,UK,29,3,Ep 3,2023-11-04,NA,8.3,11
2,NZ,29,9,Ep 9,2018-06-17,NA,NA,NA
3,US,30,2,Ep 2,2001-10-18,19590000,7.4,142
2,AU,30,4,Ep 4,2017-08-06,606000,8.1,28
3,SA,30,4,Ep 4,2010-02-10,NA,NA,NA
3,UK,30,4,Ep 4,2023-11-05,NA,8.3,10
2,NZ,30,10,Ep 10,2018-06-24,NA,NA,NA
3,US,31,3,Ep 3,2001-10-25,20430000,7.4,140
2,AU,31,5,Ep 5,2017-08-07,637000,8.5,31
3,SA,31,5,Ep 5,2010-02-17,NA,NA,NA
3,UK,31,5,Ep 5,2023-11-11,NA,8.2,10
2,NZ,31,11,Ep 11,2018-07-01,NA,NA,NA
3,US,32,4,Ep 4,2001-11-01,18730000,7.4,137
2,AU,32,6,Ep 6,2017-08-13,622000,8,26
3,SA,32,6,Ep 6,2010-02-24,NA,NA,NA
3,UK,32,6,Ep 6,2023-11-12,NA,8.3,10
2,NZ,32,12,Ep 12,2018-07-08,NA,NA,NA
3,US,33,5,Ep 5,2001-11-08,20550000,7.8,141
2,AU,33,7,Ep 7,2017-08-14,625000,7.9,26
3,SA,33,7,Ep 7,2010-03-03,NA,NA,NA
3,UK,33,7,Ep 7,2023-11-18,NA,8.4,7
2,NZ,33,13,Ep 13,2018-07-15,NA,NA,NA
3,US,34,6,Ep 6,2001-11-15,19710000,7.6,145
2,AU,34,8,Ep 8,2017-08-20,633000,8,28
3,SA,34,8,Ep 8,2010-03-10,NA,NA,NA
3,UK,34,8,Ep 8,2023-11-19,NA,8,7
2,NZ,34,14,Ep 14,2018-07-22,NA,NA,NA
3,US,35,7,Ep 7,2001-11-22,17700000,7.5,132
2,AU,35,9,Ep 9,2017-08-21,611000,8.3,28
3,SA,35,9,Ep 9,2010-03-17,NA,NA,NA
3,UK,35,9,Ep 9,2023-11-25,NA,7.8,5
2,NZ,35,15,Finale,2018-07-29,NA,NA,NA
3,US,36,8,Recap,2001-11-29,17800000,6.7,107
2,AU,36,10,Ep 10,2017-08-27,607000,8.1,27
3,SA,36,10,Ep 10,2010-03-24,NA,NA,NA
